LOCATION,win2mi,win1mi,win0.5mi,win0.25mi
"Atlanta, GA",24049,4183,1079,648
"Bountiful, UT",33739,11818,3862,853
"Bronx, NY",355589,97453,36059,11821
"Chesterfield, SC",11,1,0,0
"Chicago, IL",14744,2587,332,31
"Detroit, MI",32556,6376,3456,1271
"Grand Junction, CO",22853,5305,1191,439
"Grayson Lake, KY",35,3,0,0
"Horicon, WI",3076,708,4,0
"Houston, TX",41379,14036,4112,947
"Karnack, TX",452,201,30,3
"La Grande, OR",13588,5877,1541,411
"Los Angeles, CA",112403,19657,2437,586
"Phoenix, AZ",69047,20069,4033,1189
"Pinellas County, FL",44084,13558,3632,953
"Portland, OR",55337,17788,5250,1473
"Providence, RI",82267,26443,7742,968
"Richmond, VA",37475,9319,2668,716
"Rochester, NY",36613,9322,2465,833
"Roxbury, MA",200894,51229,9594,1717
"Rubidoux, CA",32893,15511,5030,1453
"San Jose, CA",76386,24024,8568,1954
"Seattle, WA",42851,12805,2170,44
"St. Louis, MO",29569,7445,1746,573
"Tampa, FL",11602,2366,700,700
"Underhill, VT",372,10,0,0
"Washington, DC",168502,33661,7077,2843
